gnode_lon,gnode_lat,gnode_name
-1.18901,51.71105,COWL
-0.90565,51.92579,ECLA
-1.21548,52.59726,ENDEDW
-0.72736,52.24269,GRENDW
-1.25444,52.86342,RATS
-0.86738,53.07717,STAYDW
-1.05062,52.95976,STOB
-0.80781,53.35891,WBUR
-2.9677,51.1168,BRWA
-2.00116,51.60728,MITY
-3.15387,51.01643,TAUN
-1.000941,53.729427,CAML
-0.9908,53.73598,DRAX
-0.15065,53.56499,GRIW
-0.75457,53.5978,KEADDW
-1.02091,53.95657,OSBA
0.113296,51.52017,BRK1
0.113296,51.52017,BRK3
-0.053455,51.433113,SYD1
-0.12618,51.37408,BED1
-0.0217,51.66398,BRIMDM
-0.09412,51.52967,CITR
-0.29454,51.50134,EALI
-0.04172,51.55898,HCK1
-0.04172,51.55898,HACK
0.15625,51.43215,HURS
0.329733,51.427952,NFLE
0.04463,51.58803,REBR
-0.16795,51.527,SJOW
-0.04604,51.60402,TOTT
0.00238,51.51908,WHAM
-0.25632,51.53373,WISDDM
-0.18643,51.43048,WIM1
-0.18643,51.43048,WIM2
-3.06139,53.36549,BIRKDW
-2.68771,53.37103,FIDF
-2.84636,53.46896,KIBY
-2.84636,53.46896,KIR1
-2.9228,53.41838,LISDDW
-2.75658,53.74634,PENW
-2.75658,53.74634,PENE
-2.73746,53.42095,RAIN
-2.81818,53.56236,WASF
-2.48521,50.62406,CHIC
-2.16266,55.01175,FOUR
-2.71542,53.30934,FROD
-3.02962,51.54744,IMPP
-3.75272,51.56246,MAGA
-3.68659,51.53544,PYLEDW
-1.23616,54.60537,SALH
-1.38428,53.41178,TEMP
-3.94628,52.9271,TRAW
-1.49902,55.0236,TYN5
-0.21951,52.93046,BICF
0.57806,51.86442,BRAI
0.3151,52.28034,BURWDW
-0.30001,52.21422,EASO
-0.49728,51.54361,IVR1
-0.49728,51.54361,IVR6
0.60007,51.41803,KINO
-0.46904,51.42324,LALE
-0.170383,51.528355,LODR
-0.20697,51.61738,MILH
-0.40981,51.49941,NHYDDW
0.12036,51.93467,PELH
0.56816,51.59355,RAYLDW
0.01019,51.75854,RYEH
-0.50142,51.93586,SUND
0.30304,51.55232,WARL
-0.40252,51.64253,WATS
0.28966,51.47041,WTHU
-0.47801,51.35286,WWEY
-0.24865,51.92672,WYMODW
-2.12746,53.41428,BRED
-2.35604,53.53738,KER1
-2.35604,53.53738,KER3
-2.12,53.26843,MACC
-2.27484,53.42002,SMAN
-2.03978,53.4934,STAL
-2.16577,53.52853,WHGA
-1.53101,55.14106,BLY6
-1.29041,54.70038,HARM
-1.40147,54.80525,HAWPDW
-1.1301,54.56683,LACK
-1.36566,54.5927,NORTDW
-1.45638,54.88069,OFFE
-1.44787,54.9733,SSHIDW
-1.55123,54.70514,SPENDW
-1.49902,55.0236,TYN1
-1.46879,54.94002,WBOL
-2.66949,54.29736,HUTTDM
-2.31962,53.79514,PADIDW
-2.21535,53.6217,ROCH
-2.08115,53.04058,CELL
-3.05246,53.02823,LEGADW
-4.15676,53.1873,PENT
-0.2335,50.97466,BOLNDM
-1.23059,50.88393,BOTW
-1.32711,50.82116,FAWLDM
-0.88184,51.25075,FLEEDW
-1.03854,50.91681,LOVE
0.44941,50.88089,NINFDW
-1.48521,50.94195,NURS
-3.40198,51.38785,ABTHDM
-3.14415,51.49432,CARE
-2.47937,51.56933,IROADW
-4.98939,51.68165,PEMB
-3.2254,51.80789,RASSDW
-2.66869,51.53663,SEAB
-3.95558,51.68897,SWANDW
-3.29916,51.57359,UPP1
-3.29916,51.57359,UPP3
-2.97729,51.54663,USKMDW
-2.97729,51.54663,USK3
-2.25251,51.87874,WALH
-3.72977,50.47108,ABHA
-4.13534,51.00538,ALVE
-2.92337,50.78594,AXMI
-3.40398,50.76702,EXET
-4.89788,50.39439,INDQ
-4.24153,50.44447,LAND
-1.89465,50.84632,MANN
-1.38736,53.22425,CHTE
-1.4565,53.32921,JORD
-1.48696,53.40642,NEEP
-1.46998,53.34823,NORL
-1.47708,53.37445,SHEC
-1.08549,53.57845,THOM
-1.26697,53.40464,THURDW
-1.37543,53.50118,WMEL
-1.41236,53.41559,WIBA
-1.61401,52.38546,BESW
-2.24028,52.31172,BISW
